date_time,GM RWPS LAKE LVL (GEODECTIC)(m),GM RESERVOIR VOLUME (ML),STN229 ELBOW RIVER AT SARCEE BRIDGE LEVEL (GEODECTIC) WITH COEFFICIENT (m),STN229 ELBOW RIVER AT SARCEE BRIDGE FLOW (m3/s),GM RESERVOIR FILL VOLUME TO CREST (m3)
1/1/2020 0:00,No Data,16359.35254,1079.109375,15.3210001,1283560
1/1/2020 1:00,No Data,16359.35254,1079.106201,14.97200012,1276191
1/1/2020 2:00,No Data,16374.09473,1079.087769,14.66699982,1263905
1/1/2020 3:00,No Data,16374.09473,1079.087769,14.66699982,1261447
1/1/2020 4:00,No Data,16383.92676,1079.099854,14.86100006,1256531
1/1/2020 5:00,No Data,16388.84375,1079.093506,14.97200012,1249156
1/1/2020 6:00,No Data,16388.84375,1079.077271,14.47200012,1249156
1/1/2020 7:00,No Data,16388.84375,1079.094971,14.86100006,1241777
1/1/2020 8:00,No Data,16403.60156,1079.078369,14.47200012,1234398
1/1/2020 9:00,No Data,16403.60156,1079.08606,14.66699982,1227018
1/1/2020 10:00,No Data,16410.98242,1079.086548,14.66699982,1227018
1/1/2020 11:00,No Data,16418.36719,1079.086548,14.66699982,1219633
1/1/2020 12:00,No Data,16418.36719,1079.078857,14.47200012,1212248
1/1/2020 13:00,No Data,16425.75195,1079.069824,14.16699982,1212248
1/1/2020 14:00,No Data,16433.13867,1079.066162,14.05599976,1212248
1/1/2020 15:00,No Data,16433.13867,1079.051636,13.66699982,1204861
1/1/2020 16:00,No Data,16440.52734,1079.034912,13.25,1197473
1/1/2020 17:00,No Data,16447.91992,1079.0354,13.25,1190080
1/1/2020 18:00,No Data,16447.91992,1079.039917,13.25,1190080
1/1/2020 19:00,No Data,16455.3125,1079.023071,12.86100006,1182688
1/1/2020 20:00,No Data,16462.70703,1079.037476,13.25,1175293
1/1/2020 21:00,No Data,16462.70703,1079.023071,12.86100006,1175293
1/1/2020 22:00,No Data,16470.10352,1079.02417,12.86100006,1167896
1/1/2020 23:00,No Data,16477.50195,1079.018311,12.66699982,1167896
1/2/2020 0:00,No Data,16470.10352,1079.014893,12.66699982,1153098
1/2/2020 1:00,No Data,16477.50195,1079.008667,12.47200012,1160498
1/2/2020 2:00,No Data,16484.90234,1079.000977,12.36100006,1153098
1/2/2020 3:00,No Data,16484.90234,1078.998291,12.26480007,1160498
1/2/2020 4:00,No Data,16484.90234,1078.997192,12.13746643,1160498
1/2/2020 5:00,No Data,16484.90234,1078.991089,11.86100006,1153098
1/2/2020 6:00,No Data,16484.90234,1078.989136,11.86100006,1148162
1/2/2020 7:00,No Data,16489.83789,1078.987061,11.86100006,1145695
1/2/2020 8:00,No Data,16492.30469,1078.987061,11.86100006,1130885
1/2/2020 9:00,No Data,16497.24023,1078.990112,11.97200012,1138291
1/2/2020 10:00,No Data,16507.11523,1078.987061,11.86100006,1130885
1/2/2020 11:00,No Data,16507.11523,1078.987671,11.88700008,1130885
1/2/2020 12:00,No Data,16507.11523,1078.989014,11.91286659,1138291
1/2/2020 13:00,No Data,16507.11523,1079.003174,12.30913353,1140760
1/2/2020 14:00,No Data,16507.11523,1078.990723,11.97200012,1125947
1/2/2020 15:00,No Data,16512.05273,1078.990723,11.97200012,1125947
1/2/2020 16:00,No Data,16512.05273,1079.002686,12.29433346,1130885
1/2/2020 17:00,No Data,16514.52344,1078.987061,11.86100006,1116068
1/2/2020 18:00,No Data,16514.52344,1078.987061,11.86100006,1116068
1/2/2020 19:00,No Data,16512.05273,1078.987061,11.86100006,1116068
1/2/2020 20:00,No Data,16519.46289,1078.992798,12.08186626,1116068
1/2/2020 21:00,No Data,16519.46289,1078.983521,11.77799988,1118537
1/2/2020 22:00,No Data,16519.46289,1078.987061,11.77799988,1118537
1/2/2020 23:00,No Data,16526.87305,1078.98877,11.95720005,1111127
1/3/2020 0:00,No Data,16534.28711,1078.99231,12.22413349,1103713
1/3/2020 1:00,No Data,16526.87305,1078.990723,11.97200012,1111127
1/3/2020 2:00,No Data,16526.87305,1078.986572,11.86100006,1111127
1/3/2020 3:00,No Data,16526.87305,1078.981445,11.66699982,1111127
1/3/2020 4:00,No Data,16534.28711,1078.968994,11.36100006,1103713
1/3/2020 5:00,No Data,16534.28711,1078.94397,10.66699982,1103713
1/3/2020 6:00,No Data,16534.28711,1078.950928,10.87053299,1103713
1/3/2020 7:00,No Data,16534.28711,1078.964478,11.16699982,1103713
1/3/2020 8:00,No Data,16534.28711,1078.967529,11.32986641,1103713
1/3/2020 9:00,No Data,16541.70117,1078.977417,11.60033321,1103713
1/3/2020 10:00,No Data,16541.70117,1078.961914,11.16699982,1103713
1/3/2020 11:00,No Data,16526.87305,1078.962891,11.26319981,1111127
1/3/2020 12:00,No Data,16512.05273,1078.965576,11.27799988,1125947
1/3/2020 13:00,No Data,16512.05273,1078.965576,11.27799988,1125947
1/3/2020 14:00,No Data,16499.70898,1078.963623,11.16699982,1140760
1/3/2020 15:00,No Data,16497.24023,1078.958618,11.05599976,1138291
1/3/2020 16:00,No Data,16499.70898,1078.94397,10.68179989,1153098
1/3/2020 17:00,No Data,16484.90234,1078.941284,10.66699982,1145695
1/3/2020 18:00,No Data,16455.3125,1078.958374,11.05599976,1160498
1/3/2020 19:00,No Data,16462.70703,1078.938232,10.47200012,1160498
1/3/2020 20:00,No Data,16462.70703,1078.936768,10.47200012,1167896
1/3/2020 21:00,No Data,16455.3125,1078.936768,10.47200012,1182688
1/3/2020 22:00,No Data,16447.91992,1078.936768,10.47200012,1197473
1/3/2020 23:00,No Data,16440.52734,1078.936768,10.47200012,1197473
1/4/2020 0:00,No Data,16462.70703,1078.936768,10.47200012,1175293
1/4/2020 1:00,No Data,16440.52734,1078.936768,10.47200012,1197473
1/4/2020 2:00,No Data,16462.70703,1078.940308,10.55599976,1182688
1/4/2020 3:00,No Data,16447.91992,1078.940308,10.55599976,1160498
1/4/2020 4:00,No Data,16462.70703,1078.940308,10.55599976,1175293
1/4/2020 5:00,No Data,16470.10352,1078.940308,10.55599976,1167896
1/4/2020 6:00,No Data,16462.70703,1078.94104,10.59666634,1160498
1/4/2020 7:00,No Data,16477.50195,1078.94397,10.66699982,1175293
1/4/2020 8:00,No Data,16484.90234,1078.949341,10.66699982,1182688
1/4/2020 9:00,No Data,16484.90234,1078.94397,10.66699982,1160498
1/4/2020 10:00,No Data,16492.30469,1078.94397,10.66699982,1153098
1/4/2020 11:00,No Data,16484.90234,1078.94751,10.84993362,1160498
1/4/2020 12:00,No Data,16499.70898,1078.94751,10.76319981,1153098
1/4/2020 13:00,No Data,16507.11523,1078.949951,10.84466648,1140760
1/4/2020 14:00,No Data,16512.05273,1078.94751,10.77799988,1130885
1/4/2020 15:00,No Data,16507.11523,1078.950928,10.77799988,1123477
1/4/2020 16:00,No Data,16514.52344,1078.94751,10.77799988,1130885
1/4/2020 17:00,No Data,16529.34375,1078.94751,10.68179989,1116068
1/4/2020 18:00,No Data,16521.93164,1078.961914,11.16699982,1116068
1/4/2020 19:00,No Data,16536.75781,1078.94397,10.66699982,1111127
1/4/2020 20:00,No Data,16534.28711,1078.94397,10.66699982,1116068
1/4/2020 21:00,No Data,16529.34375,1078.941284,10.55599976,1116068
1/4/2020 22:00,No Data,16507.11523,1078.950806,10.55599976,1116068
1/4/2020 23:00,No Data,16549.11719,1078.940308,10.55599976,1086410
1/5/2020 0:00,No Data,16507.11523,1078.946045,10.73719978,1138291
1/5/2020 1:00,No Data,16492.30469,1078.949219,10.80913353,1145695
1/5/2020 2:00,No Data,16492.30469,1078.930786,10.47200012,1145695
1/5/2020 3:00,No Data,16484.90234,1078.932617,10.30386639,1138291
1/5/2020 4:00,No Data,16484.90234,1078.932495,10.35573292,1153098
1/5/2020 5:00,No Data,16484.90234,1078.928467,10.23366642,1153098
1/5/2020 6:00,No Data,16477.50195,1078.926025,10.16699982,1160498
1/5/2020 7:00,No Data,16470.10352,1078.922363,10.24839973,1167896
1/5/2020 8:00,No Data,16477.50195,1078.921509,10.04613304,1175293
1/5/2020 9:00,No Data,16470.10352,1078.918091,9.972533226,1175293
1/5/2020 10:00,No Data,16455.3125,1078.915161,9.911000252,1197473
1/5/2020 11:00,No Data,16440.52734,1078.907959,9.786000252,1197473
